|   |A |B |C         |
|---|--|--|----------|
|1  |96|83|NaN       |
|2  |43|93|-1104     |
|3  |47|77|10788     |
|4  |47|21|0         |
|5  |74|55|6         |
|6  |85|40|8265      |
|7  |27|20|-20       |
|8  |5 |20|1158399   |
|9  |76|23|0         |
|10 |89|5 |NaN       |
|11 |95|17|NaN       |
|12 |16|2 |120       |
|13 |75|23|5         |
|14 |74|27|-23       |
|15 |98|28|21        |
|16 |98|31|64        |
|17 |90|75|64        |
|18 |63|84|0         |
|19 |33|25|1072      |
|20 |18|59|3135      |
|21 |71|59|9         |
|22 |6 |66|1067      |
|23 |55|10|-85       |
|24 |72|38|129       |
|25 |15|70|2806      |
|26 |98|37|-90       |
|27 |44|29|70        |
|28 |26|97|-176      |
|29 |10|83|0         |
|30 |27|68|966       |
|31 |51|40|320       |
|32 |16|99|0         |
|33 |82|0 |4036      |
|34 |80|62|NaN       |
|35 |81|0 |5245      |
|36 |54|59|7905      |
|37 |37|24|-8        |
|38 |6 |96|51        |
|39 |24|96|0         |
|40 |31|46|25        |
|41 |13|20|-42       |
|42 |52|56|1         |
|43 |11|96|NaN       |
|44 |49|4 |61        |
|45 |15|45|120       |
|46 |51|31|1558      |
|47 |66|16|-54       |
|48 |69|61|NaN       |
|49 |58|67|4876      |
|50 |83|11|-1        |
|51 |56|69|-32       |
|52 |23|26|182       |
|53 |4 |99|5326      |
|54 |51|99|72        |
|55 |42|56|0         |
|56 |66|85|49        |
|57 |88|66|-24       |
|58 |38|19|41        |
|59 |1 |26|1776      |
|60 |97|9 |3933      |
|61 |54|40|11        |
|62 |8 |8 |105309    |
|63 |28|65|133       |
|64 |4 |64|-79       |
|65 |70|95|140       |
|66 |37|42|-109      |
|67 |84|91|2159      |
|68 |78|50|4070      |
|69 |93|2 |171       |
|70 |5 |73|335       |
|71 |67|60|59        |
|72 |85|77|99        |
|73 |97|70|3979      |
|74 |73|27|0         |
|75 |4 |61|1184      |
|76 |51|37|3210064   |
|77 |74|21|NaN       |
|78 |21|90|2745      |
|79 |21|30|4128      |
|80 |14|55|47        |
|81 |76|51|0         |
|82 |83|41|13440     |
|83 |82|24|67        |
|84 |57|58|-1        |
|85 |23|96|1268      |
|86 |86|20|57        |
|87 |49|98|2         |
|88 |73|8 |0         |
|89 |85|12|88        |
|90 |75|15|41        |
|91 |47|92|143       |
|92 |16|68|5394      |
|93 |23|32|-59       |
|94 |41|35|0         |
|95 |35|12|0         |
|96 |4 |49|0         |
|97 |42|3 |11725     |
|98 |53|17|NaN       |
|99 |92|29|85        |
|100|15|78|0         |
|101|12|55|132       |
|102|80|51|93        |
|103|5 |37|21        |
|104|51|1 |-38       |
|105|16|31|-50       |
|106|13|31|0         |
|107|20|82|NaN       |
|108|74|16|NaN       |
|109|39|2 |75        |
|110|31|87|-1040     |
|111|93|52|0         |
|112|92|3 |0         |
|113|46|86|81        |
|114|43|76|2106      |
|115|77|73|0         |
|116|74|55|NaN       |
|117|92|46|1300      |
|118|56|43|0         |
|119|15|66|101       |
|120|92|61|0         |
|121|68|43|4052      |
|122|56|9 |-2318     |
|123|47|54|103       |
|124|9 |44|-9        |
|125|7 |79|95        |
|126|5 |74|147       |
|127|3 |97|3883      |
|128|55|44|-30       |
|129|90|97|0         |
|130|7 |88|3979      |
|131|0 |54|11        |
|132|80|38|0         |
|133|76|92|55        |
|134|28|87|0         |
|135|79|23|1455      |
|136|16|40|119       |
|137|50|87|77        |
|138|6 |37|NaN       |
|139|44|81|0         |
|140|85|16|-39       |
|141|96|82|-1050     |
|142|58|47|NaN       |
|143|8 |91|67        |
|144|9 |32|0         |
|145|67|49|67        |
|146|93|39|2         |
|147|5 |72|-12       |
|148|92|15|10        |
|149|42|45|6460      |
|150|54|39|105300    |
|151|68|78|1699      |
|152|35|11|6480      |
|153|10|24|56        |
|154|59|11|-6        |
|155|82|92|-105290   |
|156|95|43|-4        |
|157|51|59|84        |
|158|44|5 |0         |
|159|97|12|-60       |
|160|15|69|1144      |
|161|31|19|NaN       |
|162|48|10|NaN       |
|163|65|61|11        |
|164|74|74|-5        |
|165|10|76|1072      |
|166|73|53|27        |
|167|77|3 |68        |
|168|79|85|89        |
|169|31|57|-620      |
|170|0 |39|-140      |
|171|33|73|177       |
|172|12|59|-2        |
|173|72|14|3         |
|174|20|52|588       |
|175|9 |66|47        |
|176|26|76|-480      |
|177|6 |93|0         |
|178|66|55|141       |
|179|41|97|-1        |
|180|42|94|-69       |
|181|13|14|124       |
|182|6 |64|0         |
|183|85|8 |0         |
|184|5 |31|23        |
|185|19|90|0         |
|186|71|63|0         |
|187|25|89|-3960     |
|188|89|54|37        |
|189|13|9 |561039    |
|190|76|89|-513      |
|191|40|10|0         |
|192|96|6 |-33       |
|193|61|10|0         |
|194|97|12|3179      |
|195|29|56|120       |
|196|26|85|-7        |
|197|14|75|560       |
|198|57|93|3         |
|199|49|94|NaN       |
|200|3 |9 |0         |
